,coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate,fpco2
216,CNAD7,2800_31_2,30.9,2800_31,3301.59,31,ext,A,D,N,12.793,3.00E-03,Pre,0.775,2800
342,CNTC10,280_28_3,27.9,280_28,317.27,28,pre,T,C,N,5.395,3.00E-03,Pre,NA,280
357,CNTD2,280_28_2,27.9,280_28,314.65,28,pre,T,D,N,20.952,3.00E-03,Pre,0.533,280
383,CFAA6,700_28_1,28,700_28,707.6,28,eoc,A,A,F,12.19,3.00E-03,T30,0.434,700
385,CFAA8,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,F,11.967,3.00E-03,T30,-0.527,2800
387,CFAB11,700_28_1,28,700_28,707.6,28,eoc,A,B,F,10.074,3.00E-03,T30,0.234,700
391,CFAB5,700_31_1,30.9,700_31,666.85,31,eoc,A,B,F,11.136,3.00E-03,T30,0.315,700
397,CFAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,F,10.757,3.00E-03,T30,0.086,400
401,CFAC8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,C,F,9.302,3.00E-03,T30,1.492,2800
406,CFAD5,700_31_2,30.9,700_31,677.35,31,eoc,A,D,F,9.903,3.00E-03,T30,0.852,700
415,CFAE8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,E,F,11.355,3.00E-03,T30,-1.046,2800
418,CFAF3,400_31_3,31.1,400_31,459.07,31,cur,A,F,F,10.534,3.00E-03,T30,-0.258,400
499,CFSA6,700_28_1,28,700_28,707.6,28,eoc,S,A,F,9.068,3.00E-03,T30,0.256,700
505,CFSB3,2800_28_1,28.1,2800_28,3369.78,28,ext,S,B,F,9.702,3.00E-03,T30,0.06,2800
565,CNAA14,700_28_1,28,700_28,707.6,28,eoc,A,A,N,12.178,3.00E-03,T30,-0.182,700
568,CNAA5,700_31_1,30.9,700_31,666.85,31,eoc,A,A,N,10.874,3.00E-03,T30,1.584,700
593,CNAD7,2800_31_2,30.9,2800_31,3301.59,31,ext,A,D,N,12.793,3.00E-03,T30,-0.389,2800
719,CNTC10,280_28_3,27.9,280_28,317.27,28,pre,T,C,N,5.395,3.00E-03,T30,0.422,280
734,CNTD2,280_28_2,27.9,280_28,314.65,28,pre,T,D,N,20.952,3.00E-03,T30,0.314,280
760,CFAA6,700_28_1,28,700_28,707.6,28,eoc,A,A,F,12.19,3.00E-03,T60,0.25,700
762,CFAA8,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,F,11.967,3.00E-03,T60,-0.468,2800
764,CFAB11,700_28_1,28,700_28,707.6,28,eoc,A,B,F,10.074,3.00E-03,T60,-0.192,700
768,CFAB5,700_31_1,30.9,700_31,666.85,31,eoc,A,B,F,11.136,3.00E-03,T60,-0.274,700
774,CFAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,F,10.757,3.00E-03,T60,0.394,400
778,CFAC8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,C,F,9.302,3.00E-03,T60,-0.462,2800
783,CFAD5,700_31_2,30.9,700_31,677.35,31,eoc,A,D,F,9.903,3.00E-03,T60,-0.974,700
792,CFAE8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,E,F,11.355,3.00E-03,T60,0.11,2800
795,CFAF3,400_31_3,31.1,400_31,459.07,31,cur,A,F,F,10.534,3.00E-03,T60,-0.207,400
876,CFSA6,700_28_1,28,700_28,707.6,28,eoc,S,A,F,9.068,3.00E-03,T60,0.825,700
882,CFSB3,2800_28_1,28.1,2800_28,3369.78,28,ext,S,B,F,9.702,3.00E-03,T60,-0.234,2800
