,coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate,fpco2
1845,CNTB2,280_28_1,28,280_28,302.69,28,pre,T,B,N,19.043,4.00E-03,total,0.109,280
1862,CNTD1,280_31_2,30.9,280_31,286.61,31,pre,T,D,N,17.389,4.00E-03,total,0.199,280
11,CFAB18,400_28_1,28,400_28,408.25,28,cur,A,B,F,9.132,5.00E-03,Pre,0.336,400
22,CFAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,F,10.222,5.00E-03,Pre,1.505,700
30,CFAD6,700_28_2,28.1,700_28,707.17,28,eoc,A,D,F,8.446,5.00E-03,Pre,1.892,700
32,CFAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,F,9.366,5.00E-03,Pre,0.317,2800
35,CFAE15,280_28_3,27.9,280_28,317.27,28,pre,A,E,F,8.097,5.00E-03,Pre,0.399,280
40,CFAF2,280_28_3,27.9,280_28,317.27,28,pre,A,F,F,10.805,5.00E-03,Pre,1.487,280
45,CFAF8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,F,9.643,5.00E-03,Pre,0.845,2800
117,CFSA10,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,F,6.446,5.00E-03,Pre,0.287,2800
119,CFSA2,400_28_1,28,400_28,408.25,28,cur,S,A,F,8.3,5.00E-03,Pre,0.51,400
123,CFSA7,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,F,8.812,5.00E-03,Pre,0.964,2800
154,CFSE8,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,F,6.848,5.00E-03,Pre,0.586,2800
157,CFSF16,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,F,11.373,5.00E-03,Pre,1.852,2800
159,CFSF3,400_31_3,31.1,400_31,459.07,31,cur,S,F,F,7.627,5.00E-03,Pre,0.332,400
189,CNAA2,280_28_1,28,280_28,302.69,28,pre,A,A,N,12.034,5.00E-03,Pre,1.703,280
192,CNAA6,400_28_1,28,400_28,408.25,28,cur,A,A,N,8.667,5.00E-03,Pre,0.466,400
205,CNAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,N,11.649,5.00E-03,Pre,1.325,280
208,CNAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,N,10.235,5.00E-03,Pre,0.948,700
218,CNAD9,400_28_2,28.1,400_28,400.02,28,cur,A,D,N,12.847,5.00E-03,Pre,1.379,400
223,CNAE6,700_28_3,28.1,700_28,689.5,28,eoc,A,E,N,9.108,5.00E-03,Pre,2.154,700
299,CNSC3,400_31_2,31.1,400_31,447.02,31,cur,S,C,N,7.851,5.00E-03,Pre,1.197,400
315,CNSE21,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,9.522,5.00E-03,Pre,NA,400
318,CNSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,N,10.615,5.00E-03,Pre,1.461,700
325,CNSF24,280_31_3,30.9,280_31,291.58,31,pre,S,F,N,11.243,5.00E-03,Pre,NA,280
340,CNTB9,400_28_1,28,400_28,408.25,28,cur,T,B,N,15.733,5.00E-03,Pre,0.153,400
345,CNTC16,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,7.669,5.00E-03,Pre,NA,280
346,CNTC2,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,20.371,5.00E-03,Pre,0.474,280
355,CNTD13,400_28_2,28.1,400_28,400.02,28,cur,T,D,N,10.053,5.00E-03,Pre,0.158,400
356,CNTD15,280_28_3,27.9,280_28,317.27,28,pre,T,D,N,3.641,5.00E-03,Pre,NA,280
372,CNTF2,280_28_3,27.9,280_28,317.27,28,pre,T,F,N,26.052,5.00E-03,Pre,0.613,280
388,CFAB18,400_28_1,28,400_28,408.25,28,cur,A,B,F,9.132,5.00E-03,T30,1.284,400
399,CFAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,F,10.222,5.00E-03,T30,0.49,700
407,CFAD6,700_28_2,28.1,700_28,707.17,28,eoc,A,D,F,8.446,5.00E-03,T30,-0.753,700
409,CFAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,F,9.366,5.00E-03,T30,-0.697,2800
412,CFAE15,280_28_3,27.9,280_28,317.27,28,pre,A,E,F,8.097,5.00E-03,T30,-0.23,280
417,CFAF2,280_28_3,27.9,280_28,317.27,28,pre,A,F,F,10.805,5.00E-03,T30,0.45,280
422,CFAF8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,F,9.643,5.00E-03,T30,-0.293,2800
494,CFSA10,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,F,6.446,5.00E-03,T30,-0.283,2800
496,CFSA2,400_28_1,28,400_28,408.25,28,cur,S,A,F,8.3,5.00E-03,T30,0.687,400
500,CFSA7,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,F,8.812,5.00E-03,T30,0.28,2800
531,CFSE8,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,F,6.848,5.00E-03,T30,0.32,2800
534,CFSF16,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,F,11.373,5.00E-03,T30,1.259,2800
536,CFSF3,400_31_3,31.1,400_31,459.07,31,cur,S,F,F,7.627,5.00E-03,T30,0.461,400
566,CNAA2,280_28_1,28,280_28,302.69,28,pre,A,A,N,12.034,5.00E-03,T30,0.861,280
569,CNAA6,400_28_1,28,400_28,408.25,28,cur,A,A,N,8.667,5.00E-03,T30,-0.049,400
582,CNAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,N,11.649,5.00E-03,T30,0.35,280
585,CNAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,N,10.235,5.00E-03,T30,0.105,700
595,CNAD9,400_28_2,28.1,400_28,400.02,28,cur,A,D,N,12.847,5.00E-03,T30,0.389,400
600,CNAE6,700_28_3,28.1,700_28,689.5,28,eoc,A,E,N,9.108,5.00E-03,T30,0.267,700
676,CNSC3,400_31_2,31.1,400_31,447.02,31,cur,S,C,N,7.851,5.00E-03,T30,1.237,400
692,CNSE21,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,9.522,5.00E-03,T30,2.69,400
695,CNSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,N,10.615,5.00E-03,T30,1.916,700
702,CNSF24,280_31_3,30.9,280_31,291.58,31,pre,S,F,N,11.243,5.00E-03,T30,0.103,280
717,CNTB9,400_28_1,28,400_28,408.25,28,cur,T,B,N,15.733,5.00E-03,T30,0.133,400
722,CNTC16,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,7.669,5.00E-03,T30,0.321,280
723,CNTC2,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,20.371,5.00E-03,T30,0.232,280
732,CNTD13,400_28_2,28.1,400_28,400.02,28,cur,T,D,N,10.053,5.00E-03,T30,0.202,400
733,CNTD15,280_28_3,27.9,280_28,317.27,28,pre,T,D,N,3.641,5.00E-03,T30,-0.169,280
749,CNTF2,280_28_3,27.9,280_28,317.27,28,pre,T,F,N,26.052,5.00E-03,T30,0.047,280
765,CFAB18,400_28_1,28,400_28,408.25,28,cur,A,B,F,9.132,5.00E-03,T60,0.641,400
776,CFAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,F,10.222,5.00E-03,T60,0.609,700
784,CFAD6,700_28_2,28.1,700_28,707.17,28,eoc,A,D,F,8.446,5.00E-03,T60,0.582,700
786,CFAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,F,9.366,5.00E-03,T60,-0.279,2800
789,CFAE15,280_28_3,27.9,280_28,317.27,28,pre,A,E,F,8.097,5.00E-03,T60,0.477,280
794,CFAF2,280_28_3,27.9,280_28,317.27,28,pre,A,F,F,10.805,5.00E-03,T60,0.351,280
799,CFAF8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,F,9.643,5.00E-03,T60,0.103,2800
871,CFSA10,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,F,6.446,5.00E-03,T60,0.523,2800
873,CFSA2,400_28_1,28,400_28,408.25,28,cur,S,A,F,8.3,5.00E-03,T60,1.343,400
877,CFSA7,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,F,8.812,5.00E-03,T60,0.445,2800
908,CFSE8,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,F,6.848,5.00E-03,T60,0.465,2800
911,CFSF16,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,F,11.373,5.00E-03,T60,0.9,2800
913,CFSF3,400_31_3,31.1,400_31,459.07,31,cur,S,F,F,7.627,5.00E-03,T60,2.081,400
943,CNAA2,280_28_1,28,280_28,302.69,28,pre,A,A,N,12.034,5.00E-03,T60,0.331,280
946,CNAA6,400_28_1,28,400_28,408.25,28,cur,A,A,N,8.667,5.00E-03,T60,-0.586,400
959,CNAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,N,11.649,5.00E-03,T60,0.096,280
962,CNAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,N,10.235,5.00E-03,T60,-0.097,700
972,CNAD9,400_28_2,28.1,400_28,400.02,28,cur,A,D,N,12.847,5.00E-03,T60,-1.332,400
977,CNAE6,700_28_3,28.1,700_28,689.5,28,eoc,A,E,N,9.108,5.00E-03,T60,0.588,700
1053,CNSC3,400_31_2,31.1,400_31,447.02,31,cur,S,C,N,7.851,5.00E-03,T60,0.781,400
1069,CNSE21,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,9.522,5.00E-03,T60,1.371,400
1072,CNSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,N,10.615,5.00E-03,T60,0.277,700
1079,CNSF24,280_31_3,30.9,280_31,291.58,31,pre,S,F,N,11.243,5.00E-03,T60,0.627,280
1094,CNTB9,400_28_1,28,400_28,408.25,28,cur,T,B,N,15.733,5.00E-03,T60,0.264,400
1099,CNTC16,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,7.669,5.00E-03,T60,0.426,280
1100,CNTC2,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,20.371,5.00E-03,T60,0.139,280
1109,CNTD13,400_28_2,28.1,400_28,400.02,28,cur,T,D,N,10.053,5.00E-03,T60,0.242,400
1110,CNTD15,280_28_3,27.9,280_28,317.27,28,pre,T,D,N,3.641,5.00E-03,T60,0.456,280
1126,CNTF2,280_28_3,27.9,280_28,317.27,28,pre,T,F,N,26.052,5.00E-03,T60,0.066,280
1142,CFAB18,400_28_1,28,400_28,408.25,28,cur,A,B,F,9.132,5.00E-03,T90,0.079,400
1153,CFAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,F,10.222,5.00E-03,T90,-1.481,700
1161,CFAD6,700_28_2,28.1,700_28,707.17,28,eoc,A,D,F,8.446,5.00E-03,T90,-2.107,700
1163,CFAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,F,9.366,5.00E-03,T90,-1.146,2800
1166,CFAE15,280_28_3,27.9,280_28,317.27,28,pre,A,E,F,8.097,5.00E-03,T90,-0.015,280
1171,CFAF2,280_28_3,27.9,280_28,317.27,28,pre,A,F,F,10.805,5.00E-03,T90,-0.407,280
1176,CFAF8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,F,9.643,5.00E-03,T90,-2.308,2800
1248,CFSA10,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,F,6.446,5.00E-03,T90,-0.433,2800
1250,CFSA2,400_28_1,28,400_28,408.25,28,cur,S,A,F,8.3,5.00E-03,T90,1.202,400
1254,CFSA7,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,F,8.812,5.00E-03,T90,-0.701,2800
1285,CFSE8,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,F,6.848,5.00E-03,T90,-1.873,2800
1288,CFSF16,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,F,11.373,5.00E-03,T90,0.162,2800
1290,CFSF3,400_31_3,31.1,400_31,459.07,31,cur,S,F,F,7.627,5.00E-03,T90,1.97,400
1320,CNAA2,280_28_1,28,280_28,302.69,28,pre,A,A,N,12.034,5.00E-03,T90,0.078,280
1323,CNAA6,400_28_1,28,400_28,408.25,28,cur,A,A,N,8.667,5.00E-03,T90,-0.007,400
1336,CNAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,N,11.649,5.00E-03,T90,-0.529,280
1339,CNAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,N,10.235,5.00E-03,T90,-0.66,700
1349,CNAD9,400_28_2,28.1,400_28,400.02,28,cur,A,D,N,12.847,5.00E-03,T90,-1.446,400
1354,CNAE6,700_28_3,28.1,700_28,689.5,28,eoc,A,E,N,9.108,5.00E-03,T90,-0.914,700
1430,CNSC3,400_31_2,31.1,400_31,447.02,31,cur,S,C,N,7.851,5.00E-03,T90,0.839,400
1446,CNSE21,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,9.522,5.00E-03,T90,1.833,400
1449,CNSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,N,10.615,5.00E-03,T90,-0.101,700
1456,CNSF24,280_31_3,30.9,280_31,291.58,31,pre,S,F,N,11.243,5.00E-03,T90,0.436,280
1471,CNTB9,400_28_1,28,400_28,408.25,28,cur,T,B,N,15.733,5.00E-03,T90,0.26,400
1476,CNTC16,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,7.669,5.00E-03,T90,0.126,280
1477,CNTC2,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,20.371,5.00E-03,T90,0.092,280
1486,CNTD13,400_28_2,28.1,400_28,400.02,28,cur,T,D,N,10.053,5.00E-03,T90,0.279,400
1487,CNTD15,280_28_3,27.9,280_28,317.27,28,pre,T,D,N,3.641,5.00E-03,T90,0.228,280
1503,CNTF2,280_28_3,27.9,280_28,317.27,28,pre,T,F,N,26.052,5.00E-03,T90,0.117,280
1519,CFAB18,400_28_1,28,400_28,408.25,28,cur,A,B,F,9.132,5.00E-03,total,0.634,400
1530,CFAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,F,10.222,5.00E-03,total,-0.17,700
1538,CFAD6,700_28_2,28.1,700_28,707.17,28,eoc,A,D,F,8.446,5.00E-03,total,-0.774,700
1540,CFAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,F,9.366,5.00E-03,total,-0.713,2800
1543,CFAE15,280_28_3,27.9,280_28,317.27,28,pre,A,E,F,8.097,5.00E-03,total,0.09,280
1548,CFAF2,280_28_3,27.9,280_28,317.27,28,pre,A,F,F,10.805,5.00E-03,total,0.111,280
1553,CFAF8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,F,9.643,5.00E-03,total,-0.879,2800
1625,CFSA10,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,F,6.446,5.00E-03,total,-0.056,2800
1627,CFSA2,400_28_1,28,400_28,408.25,28,cur,S,A,F,8.3,5.00E-03,total,1.093,400
1631,CFSA7,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,F,8.812,5.00E-03,total,-0.012,2800
1662,CFSE8,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,F,6.848,5.00E-03,total,-0.418,2800
1665,CFSF16,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,F,11.373,5.00E-03,total,0.74,2800
1667,CFSF3,400_31_3,31.1,400_31,459.07,31,cur,S,F,F,7.627,5.00E-03,total,1.556,400
1697,CNAA2,280_28_1,28,280_28,302.69,28,pre,A,A,N,12.034,5.00E-03,total,0.404,280
1700,CNAA6,400_28_1,28,400_28,408.25,28,cur,A,A,N,8.667,5.00E-03,total,-0.215,400
1713,CNAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,N,11.649,5.00E-03,total,-0.045,280
1716,CNAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,N,10.235,5.00E-03,total,-0.237,700
1726,CNAD9,400_28_2,28.1,400_28,400.02,28,cur,A,D,N,12.847,5.00E-03,total,-0.851,400
1731,CNAE6,700_28_3,28.1,700_28,689.5,28,eoc,A,E,N,9.108,5.00E-03,total,-0.042,700
1807,CNSC3,400_31_2,31.1,400_31,447.02,31,cur,S,C,N,7.851,5.00E-03,total,0.938,400
1823,CNSE21,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,9.522,5.00E-03,total,1.931,400
1826,CNSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,N,10.615,5.00E-03,total,0.634,700
1833,CNSF24,280_31_3,30.9,280_31,291.58,31,pre,S,F,N,11.243,5.00E-03,total,0.398,280
1848,CNTB9,400_28_1,28,400_28,408.25,28,cur,T,B,N,15.733,5.00E-03,total,0.223,400
1853,CNTC16,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,7.669,5.00E-03,total,0.289,280
1854,CNTC2,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,20.371,5.00E-03,total,0.151,280
1863,CNTD13,400_28_2,28.1,400_28,400.02,28,cur,T,D,N,10.053,5.00E-03,total,0.243,400
1864,CNTD15,280_28_3,27.9,280_28,317.27,28,pre,T,D,N,3.641,5.00E-03,total,0.187,280
1880,CNTF2,280_28_3,27.9,280_28,317.27,28,pre,T,F,N,26.052,5.00E-03,total,0.079,280
116,CFSA1,280_31_1,31,280_31,286.83,31,pre,S,A,F,10.283,6.00E-03,Pre,1.109,280
124,CFSB1,280_31_1,31,280_31,286.83,31,pre,S,B,F,12.31,6.00E-03,Pre,2.336,280
135,CFSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,F,9.915,6.00E-03,Pre,1.709,700
138,CFSC9,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,F,9.262,6.00E-03,Pre,0.665,2800
140,CFSD11,280_28_2,27.9,280_28,314.65,28,pre,S,D,F,10.905,6.00E-03,Pre,2.19,280
152,CFSE6,700_28_3,28.1,700_28,689.5,28,eoc,S,E,F,8.178,6.00E-03,Pre,1.168,700
153,CFSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,F,8.936,6.00E-03,Pre,2.12,2800
204,CNAC12,400_28_2,28.1,400_28,400.02,28,cur,A,C,N,6.932,6.00E-03,Pre,0.139,400
213,CNAD3,400_31_2,31.1,400_31,447.02,31,cur,A,D,N,12.839,6.00E-03,Pre,-0.209,400
228,CNAF11,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,N,13.133,6.00E-03,Pre,1.253,2800
281,CNSA1,280_31_1,31,280_31,286.83,31,pre,S,A,N,9.448,6.00E-03,Pre,1.886,280
282,CNSA17,400_28_1,28,400_28,408.25,28,cur,S,A,N,6.707,6.00E-03,Pre,-0.039,400
285,CNSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,N,8.813,6.00E-03,Pre,1.684,700
291,CNSB20,2800_31_1,30.9,2800_31,3258.29,31,ext,S,B,N,6.394,6.00E-03,Pre,1.717,2800
302,CNSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,N,9.315,6.00E-03,Pre,1.191,2800
316,CNSE22,400_28_3,28,400_28,405.52,28,cur,S,E,N,8.415,6.00E-03,Pre,0.493,400
349,CNTC22,280_31_2,30.9,280_31,286.61,31,pre,T,C,N,10.661,6.00E-03,Pre,NA,280
366,CNTE2,280_28_3,27.9,280_28,317.27,28,pre,T,E,N,13.619,6.00E-03,Pre,0.606,280
493,CFSA1,280_31_1,31,280_31,286.83,31,pre,S,A,F,10.283,6.00E-03,T30,0.144,280
501,CFSB1,280_31_1,31,280_31,286.83,31,pre,S,B,F,12.31,6.00E-03,T30,0.589,280
512,CFSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,F,9.915,6.00E-03,T30,1.398,700
515,CFSC9,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,F,9.262,6.00E-03,T30,0.268,2800
517,CFSD11,280_28_2,27.9,280_28,314.65,28,pre,S,D,F,10.905,6.00E-03,T30,-0.219,280
529,CFSE6,700_28_3,28.1,700_28,689.5,28,eoc,S,E,F,8.178,6.00E-03,T30,0.912,700
530,CFSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,F,8.936,6.00E-03,T30,-0.123,2800
581,CNAC12,400_28_2,28.1,400_28,400.02,28,cur,A,C,N,6.932,6.00E-03,T30,1.021,400
590,CNAD3,400_31_2,31.1,400_31,447.02,31,cur,A,D,N,12.839,6.00E-03,T30,1.503,400
605,CNAF11,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,N,13.133,6.00E-03,T30,0.927,2800
658,CNSA1,280_31_1,31,280_31,286.83,31,pre,S,A,N,9.448,6.00E-03,T30,0.804,280
659,CNSA17,400_28_1,28,400_28,408.25,28,cur,S,A,N,6.707,6.00E-03,T30,-0.178,400
662,CNSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,N,8.813,6.00E-03,T30,1.158,700
668,CNSB20,2800_31_1,30.9,2800_31,3258.29,31,ext,S,B,N,6.394,6.00E-03,T30,1.024,2800
679,CNSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,N,9.315,6.00E-03,T30,-0.094,2800
693,CNSE22,400_28_3,28,400_28,405.52,28,cur,S,E,N,8.415,6.00E-03,T30,1.254,400
726,CNTC22,280_31_2,30.9,280_31,286.61,31,pre,T,C,N,10.661,6.00E-03,T30,0.245,280
743,CNTE2,280_28_3,27.9,280_28,317.27,28,pre,T,E,N,13.619,6.00E-03,T30,0.275,280
870,CFSA1,280_31_1,31,280_31,286.83,31,pre,S,A,F,10.283,6.00E-03,T60,0.834,280
878,CFSB1,280_31_1,31,280_31,286.83,31,pre,S,B,F,12.31,6.00E-03,T60,0.782,280
889,CFSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,F,9.915,6.00E-03,T60,0.624,700
892,CFSC9,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,F,9.262,6.00E-03,T60,-1.019,2800
894,CFSD11,280_28_2,27.9,280_28,314.65,28,pre,S,D,F,10.905,6.00E-03,T60,0.399,280
906,CFSE6,700_28_3,28.1,700_28,689.5,28,eoc,S,E,F,8.178,6.00E-03,T60,1.746,700
907,CFSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,F,8.936,6.00E-03,T60,0.075,2800
958,CNAC12,400_28_2,28.1,400_28,400.02,28,cur,A,C,N,6.932,6.00E-03,T60,1.661,400
967,CNAD3,400_31_2,31.1,400_31,447.02,31,cur,A,D,N,12.839,6.00E-03,T60,-0.131,400
982,CNAF11,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,N,13.133,6.00E-03,T60,0.228,2800
1035,CNSA1,280_31_1,31,280_31,286.83,31,pre,S,A,N,9.448,6.00E-03,T60,1.148,280
1036,CNSA17,400_28_1,28,400_28,408.25,28,cur,S,A,N,6.707,6.00E-03,T60,0.397,400
1039,CNSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,N,8.813,6.00E-03,T60,0.744,700
1045,CNSB20,2800_31_1,30.9,2800_31,3258.29,31,ext,S,B,N,6.394,6.00E-03,T60,1.371,2800
1056,CNSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,N,9.315,6.00E-03,T60,0.599,2800
1070,CNSE22,400_28_3,28,400_28,405.52,28,cur,S,E,N,8.415,6.00E-03,T60,3.123,400
1103,CNTC22,280_31_2,30.9,280_31,286.61,31,pre,T,C,N,10.661,6.00E-03,T60,0.116,280
1120,CNTE2,280_28_3,27.9,280_28,317.27,28,pre,T,E,N,13.619,6.00E-03,T60,0.114,280
1247,CFSA1,280_31_1,31,280_31,286.83,31,pre,S,A,F,10.283,6.00E-03,T90,1.198,280
1255,CFSB1,280_31_1,31,280_31,286.83,31,pre,S,B,F,12.31,6.00E-03,T90,0.807,280
1266,CFSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,F,9.915,6.00E-03,T90,2.207,700
1269,CFSC9,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,F,9.262,6.00E-03,T90,-0.968,2800
1271,CFSD11,280_28_2,27.9,280_28,314.65,28,pre,S,D,F,10.905,6.00E-03,T90,0.854,280
1283,CFSE6,700_28_3,28.1,700_28,689.5,28,eoc,S,E,F,8.178,6.00E-03,T90,0.414,700
1284,CFSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,F,8.936,6.00E-03,T90,-0.91,2800
1335,CNAC12,400_28_2,28.1,400_28,400.02,28,cur,A,C,N,6.932,6.00E-03,T90,0.722,400
1344,CNAD3,400_31_2,31.1,400_31,447.02,31,cur,A,D,N,12.839,6.00E-03,T90,-0.258,400
1359,CNAF11,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,N,13.133,6.00E-03,T90,-1.203,2800
1412,CNSA1,280_31_1,31,280_31,286.83,31,pre,S,A,N,9.448,6.00E-03,T90,0.662,280
1413,CNSA17,400_28_1,28,400_28,408.25,28,cur,S,A,N,6.707,6.00E-03,T90,0.682,400
1416,CNSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,N,8.813,6.00E-03,T90,0.216,700
1422,CNSB20,2800_31_1,30.9,2800_31,3258.29,31,ext,S,B,N,6.394,6.00E-03,T90,0.056,2800
1433,CNSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,N,9.315,6.00E-03,T90,0.153,2800
1447,CNSE22,400_28_3,28,400_28,405.52,28,cur,S,E,N,8.415,6.00E-03,T90,2.589,400
1480,CNTC22,280_31_2,30.9,280_31,286.61,31,pre,T,C,N,10.661,6.00E-03,T90,0.03,280
1497,CNTE2,280_28_3,27.9,280_28,317.27,28,pre,T,E,N,13.619,6.00E-03,T90,0.019,280
1624,CFSA1,280_31_1,31,280_31,286.83,31,pre,S,A,F,10.283,6.00E-03,total,0.752,280
1632,CFSB1,280_31_1,31,280_31,286.83,31,pre,S,B,F,12.31,6.00E-03,total,0.732,280
1643,CFSC5,700_31_2,30.9,700_31,677.35,31,eoc,S,C,F,9.915,6.00E-03,total,1.41,700
1646,CFSC9,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,F,9.262,6.00E-03,total,-0.625,2800
1648,CFSD11,280_28_2,27.9,280_28,314.65,28,pre,S,D,F,10.905,6.00E-03,total,0.37,280
1660,CFSE6,700_28_3,28.1,700_28,689.5,28,eoc,S,E,F,8.178,6.00E-03,total,1.022,700
1661,CFSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,F,8.936,6.00E-03,total,-0.337,2800
1712,CNAC12,400_28_2,28.1,400_28,400.02,28,cur,A,C,N,6.932,6.00E-03,total,1.129,400
1721,CNAD3,400_31_2,31.1,400_31,447.02,31,cur,A,D,N,12.839,6.00E-03,total,0.314,400
1736,CNAF11,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,N,13.133,6.00E-03,total,-0.083,2800
1789,CNSA1,280_31_1,31,280_31,286.83,31,pre,S,A,N,9.448,6.00E-03,total,0.874,280
1790,CNSA17,400_28_1,28,400_28,408.25,28,cur,S,A,N,6.707,6.00E-03,total,0.325,400
1793,CNSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,N,8.813,6.00E-03,total,0.686,700
1799,CNSB20,2800_31_1,30.9,2800_31,3258.29,31,ext,S,B,N,6.394,6.00E-03,total,0.799,2800
1810,CNSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,N,9.315,6.00E-03,total,0.236,2800
1824,CNSE22,400_28_3,28,400_28,405.52,28,cur,S,E,N,8.415,6.00E-03,total,2.364,400
1857,CNTC22,280_31_2,30.9,280_31,286.61,31,pre,T,C,N,10.661,6.00E-03,total,0.126,280
1874,CNTE2,280_28_3,27.9,280_28,317.27,28,pre,T,E,N,13.619,6.00E-03,total,0.129,280
1,CFAA1,280_31_1,31,280_31,286.83,31,pre,A,A,F,10.547,7.00E-03,Pre,2.562,280
43,CFAF6,700_28_3,28.1,700_28,689.5,28,eoc,A,F,F,10.115,7.00E-03,Pre,1.272,700
