coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate2,fpco2,rate,gross
CNSC7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,C,N,9.315,6.00E-03,total,0,2800,0.236,0.785752632
CNSC8,2800_28_2,28.1,2800_28,3336.47,28,ext,S,C,N,8.767,7.00E-03,total,0,2800,-0.236,0.697227624
CNSD1,280_31_2,30.9,280_31,286.61,31,pre,S,D,N,9.161,8.00E-03,total,0,280,0.919,0.962585561
CNSD2,280_28_2,27.9,280_28,314.65,28,pre,S,D,N,8.986,0.011,total,0,280,1.627,1.359629765
CNSD3,400_31_2,31.1,400_31,447.02,31,cur,S,D,N,9.112,8.00E-03,total,0,400,0.48,0.797405614
CNSD5,700_31_2,30.9,700_31,677.35,31,eoc,S,D,N,10.957,0.01,total,0,700,1.214,1.200846671
CNSD6,700_28_2,28.1,700_28,707.17,28,eoc,S,D,N,8.568,0.013,total,0,700,0.978,1.032089751
CNSD7,2800_31_2,30.9,2800_31,3301.59,31,ext,S,D,N,8.368,0.01,total,0,2800,0.301,0.735388455
CNSD8,2800_28_2,28.1,2800_28,3336.47,28,ext,S,D,N,8.356,0.011,total,0,2800,0.488,1.173728973
CNSD9,400_28_2,28.1,400_28,400.02,28,cur,S,D,N,8.1,0.012,total,0,400,1.231,1.141786192
CNSE11,280_28_3,27.9,280_28,317.27,28,pre,S,E,N,10.4,NA,total,0,280,0.658,0.841764953
CNSE20,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,11.112,7.00E-03,total,0,400,1.508,1.377062774
CNSE21,400_31_3,31.1,400_31,459.07,31,cur,S,E,N,9.522,5.00E-03,total,0,400,1.931,1.625954378
CNSE22,400_28_3,28,400_28,405.52,28,cur,S,E,N,8.415,6.00E-03,total,0,400,2.364,1.776202907
CNSE23,2800_28_3,28.1,2800_28,3219.84,28,ext,S,E,N,10.929,8.00E-03,total,0,2800,0.034,
CNSE5,700_31_3,30.9,700_31,675.24,31,eoc,S,E,N,10.615,5.00E-03,total,0,700,0.634,0.888732714
CNSE7,2800_31_3,31,2800_31,3295.97,31,ext,S,E,N,12.69,9.00E-03,total,0,2800,0.478,0.902115541
CNSF13,700_28_3,28.1,700_28,689.5,28,eoc,S,F,N,8.722,7.00E-03,total,0,700,0.934,0.883445025
CNSF15,2800_31_3,31,2800_31,3295.97,31,ext,S,F,N,10.255,8.00E-03,total,0,2800,1.043,1.238635558
CNSF20,400_28_3,28,400_28,405.52,28,cur,S,F,N,6.942,8.00E-03,total,0,400,1.999,1.511581304
CNSF23,280_28_3,27.9,280_28,317.27,28,pre,S,F,N,7.566,7.00E-03,total,0,280,1.445,1.208185126
CNSF24,280_31_3,30.9,280_31,291.58,31,pre,S,F,N,11.243,5.00E-03,total,0,280,0.398,0.591089815
CNSF25,2800_28_3,28.1,2800_28,3219.84,28,ext,S,F,N,9.462,8.00E-03,total,0,2800,0.508,1.100065053
CNTA11,400_28_1,28,400_28,408.25,28,cur,T,A,N,13.82,4.00E-03,total,0,400,0.2,0.507209962
CNTB2,280_28_1,28,280_28,302.69,28,pre,T,B,N,19.043,4.00E-03,total,0,280,0.109,0.198782379
CNTB8,2800_28_1,28.1,2800_28,3369.78,28,ext,T,B,N,13.526,NA,total,0,2800,-0.29,0.04802121
CNTB9,400_28_1,28,400_28,408.25,28,cur,T,B,N,15.733,5.00E-03,total,0,400,0.223,0.309148455
CNTC10,280_28_3,27.9,280_28,317.27,28,pre,T,C,N,5.395,3.00E-03,total,0,280,0.356,0.516447043
CNTC16,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,7.669,5.00E-03,total,0,280,0.289,0.340643634
CNTC2,280_28_2,27.9,280_28,314.65,28,pre,T,C,N,20.371,5.00E-03,total,0,280,0.151,0.262839469
CNTC21,400_28_2,28.1,400_28,400.02,28,cur,T,C,N,9.533,7.00E-03,total,0,400,0.141,0.372185489
CNTC22,280_31_2,30.9,280_31,286.61,31,pre,T,C,N,10.661,6.00E-03,total,0,280,0.126,0.296258895
CNTD1,280_31_2,30.9,280_31,286.61,31,pre,T,D,N,17.389,4.00E-03,total,0,280,0.199,0.269542299
CNTD13,400_28_2,28.1,400_28,400.02,28,cur,T,D,N,10.053,5.00E-03,total,0,400,0.243,0.35824076
CNTD15,280_28_3,27.9,280_28,317.27,28,pre,T,D,N,3.641,5.00E-03,total,0,280,0.187,0.501538372
CNTD2,280_28_2,27.9,280_28,314.65,28,pre,T,D,N,20.952,3.00E-03,total,0,280,0.191,0.250435797
CNTD5,700_31_2,30.9,700_31,677.35,31,eoc,T,D,N,21.945,NA,total,0,700,0.007,0.123847476
CNTD6,700_28_2,28.1,700_28,707.17,28,eoc,T,D,N,22.357,NA,total,0,700,0.021,0.215850984
CNTD8,2800_28_2,28.1,2800_28,3336.47,28,ext,T,D,N,26.287,NA,total,0,2800,-0.196,0.165794001
CNTE10,400_28_3,28,400_28,405.52,28,cur,T,E,N,30.207,0.01,total,0,400,0.602,0.621235214
CNTE12,280_31_3,30.9,280_31,291.58,31,pre,T,E,N,15.083,7.00E-03,total,0,280,0.257,0.481145923
CNTE15,280_31_3,30.9,280_31,291.58,31,pre,T,E,N,30.404,NA,total,0,280,0.173,0.300164495
CNTE2,280_28_3,27.9,280_28,317.27,28,pre,T,E,N,13.619,6.00E-03,total,0,280,0.129,0.223906382
CNTE6,700_28_3,28.1,700_28,689.5,28,eoc,T,E,N,30.319,7.00E-03,total,0,700,0.134,0.249057715
CNTE8,2800_28_3,28.1,2800_28,3219.84,28,ext,T,E,N,22.085,8.00E-03,total,0,2800,-0.193,0.50546171
CNTF2,280_28_3,27.9,280_28,317.27,28,pre,T,F,N,26.052,5.00E-03,total,0,280,0.079,0.271649622
CNTF6,700_28_3,28.1,700_28,689.5,28,eoc,T,F,N,29.273,NA,total,0,700,0.101,0.229423381
CNTF8,2800_28_3,28.1,2800_28,3219.84,28,ext,T,F,N,25.133,NA,total,0,2800,-0.195,0.173985432
CFAA5,700_31_1,30.9,700_31,666.85,31,eoc,A,A,F,8.814,NA,total,NA,700,NA,
CFAA7,2800_31_1,30.9,2800_31,3258.29,31,ext,A,A,F,8.122,NA,total,NA,2800,NA,
CFAB1,280_31_1,31,280_31,286.83,31,pre,A,B,F,12.419,NA,total,NA,280,NA,
CFAB7,2800_31_1,30.9,2800_31,3258.29,31,ext,A,B,F,9.344,NA,total,NA,2800,NA,
CFAC7,2800_31_2,30.9,2800_31,3301.59,31,ext,A,C,F,9.936,NA,total,NA,2800,NA,
CFAD1,280_31_2,30.9,280_31,286.61,31,pre,A,D,F,11.337,NA,total,NA,280,NA,
CFAD3,400_31_2,31.1,400_31,447.02,31,cur,A,D,F,9.959,NA,total,NA,400,NA,
CFAD7,2800_31_2,30.9,2800_31,3301.59,31,ext,A,D,F,7.797,NA,total,NA,2800,NA,
CFAE16,700_28_3,28.1,700_28,689.5,28,eoc,A,E,F,8.083,NA,total,NA,700,NA,
CFAE5,700_31_3,30.9,700_31,675.24,31,eoc,A,E,F,11.399,NA,total,NA,700,NA,
CFAF1,280_31_3,30.9,280_31,291.58,31,pre,A,F,F,8.796,NA,total,NA,280,NA,
CFAF7,2800_31_3,31,2800_31,3295.97,31,ext,A,F,F,7.098,NA,total,NA,2800,NA,
CFPA13,400_28_1,28,400_28,408.25,28,cur,P,A,F,3.784,NA,total,NA,400,NA,
CFPA5,700_31_1,30.9,700_31,666.85,31,eoc,P,A,F,13.511,NA,total,NA,700,NA,
CFPC1,280_31_2,30.9,280_31,286.61,31,pre,P,C,F,10.227,NA,total,NA,280,NA,
CFPC3,400_31_2,31.1,400_31,447.02,31,cur,P,C,F,9.186,NA,total,NA,400,NA,
CFPC7,2800_31_2,30.9,2800_31,3301.59,31,ext,P,C,F,9.676,NA,total,NA,2800,NA,
CFPC9,400_31_2,31.1,400_31,447.02,31,cur,P,C,F,9.601,NA,total,NA,400,NA,
CFPD3,400_31_2,31.1,400_31,447.02,31,cur,P,D,F,8.538,NA,total,NA,400,NA,
CFPE1,280_31_3,30.9,280_31,291.58,31,pre,P,E,F,11.546,NA,total,NA,280,NA,
CFPE15,2800_28_2,28.1,2800_28,3336.47,28,ext,P,E,F,5.674,NA,total,NA,2800,NA,
CFPE16,2800_31_2,30.9,2800_31,3301.59,31,ext,P,E,F,8.129,NA,total,NA,2800,NA,
CFPE18,400_31_2,31.1,400_31,447.02,31,cur,P,E,F,7.792,NA,total,NA,400,NA,
CFPE20,280_31_2,30.9,280_31,286.61,31,pre,P,E,F,10.417,NA,total,NA,280,NA,
CFPE26,700_31_2,30.9,700_31,677.35,31,eoc,P,E,F,6.355,NA,total,NA,700,NA,
CFPE27,400_28_3,28,400_28,405.52,28,cur,P,E,F,4.181,NA,total,NA,400,NA,
CFPE3,400_31_3,31.1,400_31,459.07,31,cur,P,E,F,9.348,NA,total,NA,400,NA,
CFPE41,700_31_2,30.9,700_31,677.35,31,eoc,P,E,F,8.349,NA,total,NA,700,NA,
CFPE5,700_31_3,30.9,700_31,675.24,31,eoc,P,E,F,8.152,NA,total,NA,700,NA,
CFPE7,2800_31_3,31,2800_31,3295.97,31,ext,P,E,F,9.58,NA,total,NA,2800,NA,
CFPF3,400_31_3,31.1,400_31,459.07,31,cur,P,F,F,12.464,NA,total,NA,400,NA,
CFPF5,400_28_3,28,400_28,405.52,28,cur,P,F,F,14.774,NA,total,NA,400,NA,
CFPF9,700_31_2,30.9,700_31,677.35,31,eoc,P,F,F,13.106,NA,total,NA,700,NA,
CFSC3,400_31_2,31.1,400_31,447.02,31,cur,S,C,F,10.175,NA,total,NA,400,NA,
CFSF1,280_31_3,30.9,280_31,291.58,31,pre,S,F,F,9.061,NA,total,NA,280,NA,
CFTA1,280_31_1,31,280_31,286.83,31,pre,T,A,F,21.287,NA,total,NA,280,NA,
CFTA3,400_31_1,31.1,400_31,434.02,31,cur,T,A,F,22.776,NA,total,NA,400,NA,
CFTA5,700_31_1,30.9,700_31,666.85,31,eoc,T,A,F,18.185,NA,total,NA,700,NA,
CFTA7,2800_31_1,30.9,2800_31,3258.29,31,ext,T,A,F,2.351,NA,total,NA,2800,NA,
CFTA9,400_28_1,28,400_28,408.25,28,cur,T,A,F,19.934,NA,total,NA,400,NA,
CFTB1,280_31_1,31,280_31,286.83,31,pre,T,B,F,28.263,NA,total,NA,280,NA,
CFTB3,400_31_1,31.1,400_31,434.02,31,cur,T,B,F,25.811,NA,total,NA,400,NA,
CFTB5,700_31_1,30.9,700_31,666.85,31,eoc,T,B,F,23.153,NA,total,NA,700,NA,
CFTB6,700_28_1,28,700_28,707.6,28,eoc,T,B,F,25.62,NA,total,NA,700,NA,
CFTB7,2800_31_1,30.9,2800_31,3258.29,31,ext,T,B,F,17.136,NA,total,NA,2800,NA,
CFTB8,400_28_1,28,400_28,408.25,28,cur,T,B,F,1.68,NA,total,NA,400,NA,
CFTC3,400_31_2,31.1,400_31,447.02,31,cur,T,C,F,1.017,NA,total,NA,400,NA,
CFTD3,400_31_2,31.1,400_31,447.02,31,cur,T,D,F,131.726,NA,total,NA,400,NA,
CFTD6,700_28_2,28.1,700_28,707.17,28,eoc,T,D,F,8.314,NA,total,NA,700,NA,
CFTD8,2800_28_2,28.1,2800_28,3336.47,28,ext,T,D,F,13.477,NA,total,NA,2800,NA,
CFTF5,700_31_3,30.9,700_31,675.24,31,eoc,T,F,F,12.043,NA,total,NA,700,NA,
CFTF6,700_28_3,28.1,700_28,689.5,28,eoc,T,F,F,22.768,NA,total,NA,700,NA,
CNAA1,280_31_1,31,280_31,286.83,31,pre,A,A,N,15.444,NA,total,NA,280,NA,
CNAB15,700_28_1,28,700_28,707.6,28,eoc,A,B,N,5.263,NA,total,NA,700,NA,
CNAB5,700_31_1,30.9,700_31,666.85,31,eoc,A,B,N,12.294,NA,total,NA,700,NA,
CNAB7,2800_31_1,30.9,2800_31,3258.29,31,ext,A,B,N,9.177,NA,total,NA,2800,NA,
CNAC7,2800_31_2,30.9,2800_31,3301.59,31,ext,A,C,N,11.878,NA,total,NA,2800,NA,
CNAD1,280_31_2,30.9,280_31,286.61,31,pre,A,D,N,11.811,NA,total,NA,280,NA,
CNAE1,280_31_3,30.9,280_31,291.58,31,pre,A,E,N,9.232,NA,total,NA,280,NA,
CNAF2,280_28_3,27.9,280_28,317.27,28,pre,A,F,N,12.532,NA,total,NA,280,NA,
CNPA3,400_31_1,31.1,400_31,434.02,31,cur,P,A,N,10.348,NA,total,NA,400,NA,
CNPA5,700_31_1,30.9,700_31,666.85,31,eoc,P,A,N,9.552,NA,total,NA,700,NA,
CNPA7,2800_31_1,30.9,2800_31,3258.29,31,ext,P,A,N,8.038,NA,total,NA,2800,NA,
CNPB14,280_31_1,31,280_31,286.83,31,pre,P,B,N,10.359,NA,total,NA,280,NA,
CNPC1,280_31_2,30.9,280_31,286.61,31,pre,P,C,N,12.071,NA,total,NA,280,NA,
CNPC12,400_28_2,28.1,400_28,400.02,28,cur,P,C,N,9.193,NA,total,NA,400,NA,
CNPC2,280_28_2,27.9,280_28,314.65,28,pre,P,C,N,11.368,NA,total,NA,280,NA,
CNPC3,400_31_2,31.1,400_31,447.02,31,cur,P,C,N,12.365,NA,total,NA,400,NA,
CNPC5,700_31_2,30.9,700_31,677.35,31,eoc,P,C,N,8.09,NA,total,NA,700,NA,
CNPC7,2800_31_2,30.9,2800_31,3301.59,31,ext,P,C,N,10.719,NA,total,NA,2800,NA,
CNPD11,400_28_2,28.1,400_28,400.02,28,cur,P,D,N,5.005,NA,total,NA,400,NA,
CNPE13,400_28_3,28,400_28,405.52,28,cur,P,E,N,7.806,NA,total,NA,400,NA,
CNPF17,400_28_3,28,400_28,405.52,28,cur,P,F,N,8.497,NA,total,NA,400,NA,
CNPF3,400_31_3,31.1,400_31,459.07,31,cur,P,F,N,10.91,NA,total,NA,400,NA,
CNPF5,700_31_3,30.9,700_31,675.24,31,eoc,P,F,N,9.824,NA,total,NA,700,NA,
CNPF7,2800_31_3,31,2800_31,3295.97,31,ext,P,F,N,11.322,NA,total,NA,2800,NA,
CNSA3,400_31_1,31.1,400_31,434.02,31,cur,S,A,N,4.803,NA,total,NA,400,NA,
CNSC11,280_28_2,27.9,280_28,314.65,28,pre,S,C,N,8.779,NA,total,NA,280,NA,
CNSE1,280_31_3,30.9,280_31,291.58,31,pre,S,E,N,11.93,NA,total,NA,280,NA,
CNSF10,700_31_3,30.9,700_31,675.24,31,eoc,S,F,N,10.423,NA,total,NA,700,NA,
CNTA1,280_31_1,31,280_31,286.83,31,pre,T,A,N,19.753,NA,total,NA,280,NA,
CNTA2,280_28_1,28,280_28,302.69,28,pre,T,A,N,17.065,NA,total,NA,280,NA,
CNTA3,400_31_1,31.1,400_31,434.02,31,cur,T,A,N,14.594,NA,total,NA,400,NA,
CNTA5,700_31_1,30.9,700_31,666.85,31,eoc,T,A,N,28.876,NA,total,NA,700,NA,
CNTA6,700_28_1,28,700_28,707.6,28,eoc,T,A,N,32.046,NA,total,NA,700,NA,
CNTA8,2800_28_1,28.1,2800_28,3369.78,28,ext,T,A,N,32.326,NA,total,NA,2800,NA,
CNTB12,400_31_1,31.1,400_31,434.02,31,cur,T,B,N,21.829,NA,total,NA,400,NA,
CNTB13,700_28_1,28,700_28,707.6,28,eoc,T,B,N,26.117,NA,total,NA,700,NA,
CNTB14,2800_31_1,30.9,2800_31,3258.29,31,ext,T,B,N,18.187,NA,total,NA,2800,NA,
CNTB5,700_31_1,30.9,700_31,666.85,31,eoc,T,B,N,13.749,NA,total,NA,700,NA,
CNTC1,280_31_2,30.9,280_31,286.61,31,pre,T,C,N,29.098,NA,total,NA,280,NA,
CNTC11,2800_28_3,28.1,2800_28,3219.84,28,ext,T,C,N,14.844,NA,total,NA,2800,NA,
CNTC14,2800_28_3,28.1,2800_28,3219.84,28,ext,T,C,N,10.181,NA,total,NA,2800,NA,
CNTC20,280_31_3,30.9,280_31,291.58,31,pre,T,C,N,10.996,NA,total,NA,280,NA,
CNTC3,400_31_2,31.1,400_31,447.02,31,cur,T,C,N,21.494,NA,total,NA,400,NA,
CNTC5,700_31_2,30.9,700_31,677.35,31,eoc,T,C,N,25.703,NA,total,NA,700,NA,
CNTC6,700_28_2,28.1,700_28,707.17,28,eoc,T,C,N,24.041,NA,total,NA,700,NA,
CNTC8,2800_28_2,28.1,2800_28,3336.47,28,ext,T,C,N,6.998,NA,total,NA,2800,NA,
CNTD3,400_31_2,31.1,400_31,447.02,31,cur,T,D,N,24.227,NA,total,NA,400,NA,
CNTD7,2800_31_2,30.9,2800_31,3301.59,31,ext,T,D,N,18.206,NA,total,NA,2800,NA,
CNTE3,400_31_3,31.1,400_31,459.07,31,cur,T,E,N,19.365,NA,total,NA,400,NA,
CNTE5,700_31_3,30.9,700_31,675.24,31,eoc,T,E,N,31.857,NA,total,NA,700,NA,
CNTF1,280_31_3,30.9,280_31,291.58,31,pre,T,F,N,35.164,NA,total,NA,280,NA,
CNTF3,400_31_3,31.1,400_31,459.07,31,cur,T,F,N,23.255,NA,total,NA,400,NA,
CNTF5,700_31_3,30.9,700_31,675.24,31,eoc,T,F,N,19.357,NA,total,NA,700,NA,
CNTF7,2800_31_3,31,2800_31,3295.97,31,ext,T,F,N,21.527,NA,total,NA,2800,NA,
CFAA1,280_31_1,31,280_31,286.83,31,pre,A,A,F,10.547,7.00E-03,T90,0,280,0.012,
CFAA14,400_28_1,28,400_28,408.25,28,cur,A,A,F,10.418,4.00E-03,T90,0,400,0.041,
CFAA2,280_28_1,28,280_28,302.69,28,pre,A,A,F,8.63,NA,T90,0,280,-0.714,
CFAA3,400_31_1,31.1,400_31,434.02,31,cur,A,A,F,10.159,NA,T90,0,400,-0.226,
CFAA6,700_28_1,28,700_28,707.6,28,eoc,A,A,F,12.19,3.00E-03,T90,0,700,-1.326,
CFAA8,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,F,11.967,3.00E-03,T90,0,2800,-1.174,
CFAB11,700_28_1,28,700_28,707.6,28,eoc,A,B,F,10.074,3.00E-03,T90,0,700,-0.515,
CFAB18,400_28_1,28,400_28,408.25,28,cur,A,B,F,9.132,5.00E-03,T90,0,400,0.079,
CFAB2,280_28_1,28,280_28,302.69,28,pre,A,B,F,10.698,4.00E-03,T90,0,280,-0.594,
CFAB3,400_31_1,31.1,400_31,434.02,31,cur,A,B,F,11.497,4.00E-03,T90,0,400,-1.395,
CFAB5,700_31_1,30.9,700_31,666.85,31,eoc,A,B,F,11.136,3.00E-03,T90,0,700,-1.588,
CFAB8,2800_28_1,28.1,2800_28,3369.78,28,ext,A,B,F,9.958,2.00E-03,T90,0,2800,-0.569,
CFAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,F,8.561,4.00E-03,T90,0,280,-0.08,
CFAC12,400_28_2,28.1,400_28,400.02,28,cur,A,C,F,9.083,2.00E-03,T90,0,400,-0.883,
CFAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,F,9.69,4.00E-03,T90,0,280,-0.418,
CFAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,F,10.757,3.00E-03,T90,0,400,-0.163,
CFAC5,700_31_2,30.9,700_31,677.35,31,eoc,A,C,F,11.743,NA,T90,0,700,-0.435,
CFAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,F,10.222,5.00E-03,T90,0,700,-1.481,
CFAC8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,C,F,9.302,3.00E-03,T90,0,2800,-0.545,
CFAD12,400_28_2,28.1,400_28,400.02,28,cur,A,D,F,5.764,NA,T90,0,400,-0.398,
CFAD2,280_28_2,27.9,280_28,314.65,28,pre,A,D,F,8.646,4.00E-03,T90,0,280,-1.584,
CFAD5,700_31_2,30.9,700_31,677.35,31,eoc,A,D,F,9.903,3.00E-03,T90,0,700,1.018,
CFAD6,700_28_2,28.1,700_28,707.17,28,eoc,A,D,F,8.446,5.00E-03,T90,0,700,-2.107,
CFAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,F,9.366,5.00E-03,T90,0,2800,-1.146,
CFAD9,400_28_3,28,400_28,405.52,28,cur,A,D,F,6.6,NA,T90,0,400,-0.402,
CFAE10,280_31_3,30.9,280_31,291.58,31,pre,A,E,F,8.362,NA,T90,0,280,0.03,
CFAE15,280_28_3,27.9,280_28,317.27,28,pre,A,E,F,8.097,5.00E-03,T90,0,280,-0.015,
CFAE8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,E,F,11.355,3.00E-03,T90,0,2800,-1.328,
CFAF2,280_28_3,27.9,280_28,317.27,28,pre,A,F,F,10.805,5.00E-03,T90,0,280,-0.407,
CFAF3,400_31_3,31.1,400_31,459.07,31,cur,A,F,F,10.534,3.00E-03,T90,0,400,-0.389,
CFAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,F,10.342,4.00E-03,T90,0,700,-0.385,
CFAF6,700_28_3,28.1,700_28,689.5,28,eoc,A,F,F,10.115,7.00E-03,T90,0,700,-0.435,
CFAF8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,F,9.643,5.00E-03,T90,0,2800,-2.308,
CFAF9,400_28_3,28,400_28,405.52,28,cur,A,F,F,5.018,NA,T90,0,400,-0.385,
CFPA1,280_31_1,31,280_31,286.83,31,pre,P,A,F,12.372,NA,T90,0,280,-0.32,
CFPA10,2800_28_2,28.1,2800_28,3336.47,28,ext,P,A,F,14.24,NA,T90,0,2800,-0.012,
CFPA11,400_31_2,31.1,400_31,447.02,31,cur,P,A,F,10.967,NA,T90,0,400,-0.172,
CFPA12,280_31_2,30.9,280_31,286.61,31,pre,P,A,F,18.462,0.018,T90,0,280,-0.463,
CFPA2,280_28_1,28,280_28,302.69,28,pre,P,A,F,11.998,0.015,T90,0,280,0.818,
CFPA20,700_31_2,30.9,700_31,677.35,31,eoc,P,A,F,10.441,NA,T90,0,700,-0.352,
CFPA21,280_28_2,27.9,280_28,314.65,28,pre,P,A,F,16.909,0.015,T90,0,280,1.857,
CFPA22,2800_31_2,30.9,2800_31,3301.59,31,ext,P,A,F,9.655,NA,T90,0,2800,-0.046,
CFPA3,400_31_1,31.1,400_31,434.02,31,cur,P,A,F,12.671,NA,T90,0,400,-0.698,
CFPA6,700_28_1,28,700_28,707.6,28,eoc,P,A,F,11.948,0.015,T90,0,700,1.285,
CFPA7,2800_31_1,30.9,2800_31,3258.29,31,ext,P,A,F,11.518,NA,T90,0,2800,0.019,
CFPA8,2800_28_1,28.1,2800_28,3369.78,28,ext,P,A,F,7.292,0.015,T90,0,2800,-0.153,
CFPA9,700_28_2,28.1,700_28,707.17,28,eoc,P,A,F,14.665,0.016,T90,0,700,-0.015,
CFPB1,400_28_1,28,400_28,408.25,28,cur,P,B,F,7.942,NA,T90,0,400,1.926,
CFPB12,2800_28_1,28.1,2800_28,3369.78,28,ext,P,B,F,9.46,NA,T90,0,2800,0.694,
CFPB2,280_28_1,28,280_28,302.69,28,pre,P,B,F,10.94,NA,T90,0,280,1.065,
CFPB3,400_31_1,31.1,400_31,434.02,31,cur,P,B,F,12.899,NA,T90,0,400,-2.01,
CFPB5,700_31_1,30.9,700_31,666.85,31,eoc,P,B,F,9.71,NA,T90,0,700,-1.059,
CFPB6,700_28_1,28,700_28,707.6,28,eoc,P,B,F,11.396,NA,T90,0,700,1.611,
CFPB7,2800_31_1,30.9,2800_31,3258.29,31,ext,P,B,F,8.536,NA,T90,0,2800,-0.319,
CFPB9,280_31_1,31,280_31,286.83,31,pre,P,B,F,9.076,NA,T90,0,280,-0.032,
CFPC10,400_28_2,28.1,400_28,400.02,28,cur,P,C,F,10.171,0.03,T90,0,400,-0.295,
CFPC11,280_28_2,27.9,280_28,314.65,28,pre,P,C,F,12.342,NA,T90,0,280,0.493,
CFPC12,700_31_2,30.9,700_31,677.35,31,eoc,P,C,F,11.884,NA,T90,0,700,-1.377,
CFPC2,280_28_2,27.9,280_28,314.65,28,pre,P,C,F,10.872,0.021,T90,0,280,0.238,
CFPC6,700_28_2,28.1,700_28,707.17,28,eoc,P,C,F,11.821,NA,T90,0,700,0.024,
CFPC8,2800_28_2,28.1,2800_28,3336.47,28,ext,P,C,F,10.075,0.019,T90,0,2800,-0.315,
CFPD1,280_31_2,30.9,280_31,286.61,31,pre,P,D,F,12.425,0.017,T90,0,280,-0.943,
CFPD11,2800_28_2,28.1,2800_28,3336.47,28,ext,P,D,F,7.24,NA,T90,0,2800,-1.006,
CFPD2,280_28_2,27.9,280_28,314.65,28,pre,P,D,F,11.427,0.012,T90,0,280,0.894,
CFPD5,700_31_2,30.9,700_31,677.35,31,eoc,P,D,F,8.533,NA,T90,0,700,-2.113,
CFPD6,400_28_2,28.1,400_28,400.02,28,cur,P,D,F,8.239,NA,T90,0,400,1.127,
CFPD7,2800_31_2,30.9,2800_31,3301.59,31,ext,P,D,F,11.931,NA,T90,0,2800,-2.49,
CFPD8,2800_28_2,28.1,2800_28,3336.47,28,ext,P,D,F,7.965,NA,T90,0,2800,-0.601,
CFPD9,700_28_2,28.1,700_28,707.17,28,eoc,P,D,F,7.055,NA,T90,0,700,-0.52,
CFPE10,280_28_1,28,280_28,302.69,28,pre,P,E,F,11.543,NA,T90,0,280,-2.656,
CFPE12,700_28_2,28.1,700_28,707.17,28,eoc,P,E,F,13.964,NA,T90,0,700,-0.502,
CFPE14,280_28_2,27.9,280_28,314.65,28,pre,P,E,F,8.052,NA,T90,0,280,-1.013,
CFPE2,280_28_3,27.9,280_28,317.27,28,pre,P,E,F,10.804,NA,T90,0,280,-2.724,
CFPE40,2800_28_1,28.1,2800_28,3369.78,28,ext,P,E,F,9.408,NA,T90,0,2800,-2.211,
CFPE42,2800_28_1,28.1,2800_28,3369.78,28,ext,P,E,F,9.626,NA,T90,0,2800,-0.272,
CFPE6,700_28_3,28.1,700_28,689.5,28,eoc,P,E,F,10.186,NA,T90,0,700,-0.235,
CFPE8,2800_28_3,28.1,2800_28,3219.84,28,ext,P,E,F,11.411,NA,T90,0,2800,-0.619,
CFPF1,280_31_3,30.9,280_31,291.58,31,pre,P,F,F,10.667,NA,T90,0,280,-0.092,
CFPF2,280_28_3,27.9,280_28,317.27,28,pre,P,F,F,11.07,NA,T90,0,280,-1.673,
CFPF6,700_28_3,28.1,700_28,689.5,28,eoc,P,F,F,11.765,NA,T90,0,700,-0.733,
CFPF7,2800_31_3,31,2800_31,3295.97,31,ext,P,F,F,12.335,NA,T90,0,2800,-0.537,
CFPF8,2800_28_3,28.1,2800_28,3219.84,28,ext,P,F,F,15.117,NA,T90,0,2800,-0.199,
CFSA1,280_31_1,31,280_31,286.83,31,pre,S,A,F,10.283,6.00E-03,T90,0,280,1.198,
CFSA10,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,F,6.446,5.00E-03,T90,0,2800,-0.433,
CFSA14,280_28_1,28,280_28,302.69,28,pre,S,A,F,4.661,7.00E-03,T90,0,280,-0.131,
CFSA2,400_28_1,28,400_28,408.25,28,cur,S,A,F,8.3,5.00E-03,T90,0,400,1.202,
CFSA3,400_31_1,31.1,400_31,434.02,31,cur,S,A,F,10.181,4.00E-03,T90,0,400,0.274,
CFSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,F,8.918,4.00E-03,T90,0,700,1.216,
CFSA6,700_28_1,28,700_28,707.6,28,eoc,S,A,F,9.068,3.00E-03,T90,0,700,0.151,
CFSA7,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,F,8.812,5.00E-03,T90,0,2800,-0.701,
CFSB1,280_31_1,31,280_31,286.83,31,pre,S,B,F,12.31,6.00E-03,T90,0,280,0.807,
CFSB10,400_31_1,31.1,400_31,434.02,31,cur,S,B,F,11.296,0.01,T90,0,400,2.344,
