coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate2,fpco2,rate,gross
CFPB6,700_28_1,28,700_28,707.6,28,eoc,P,B,F,11.396,NA,total,0,700,2.018,1.609829973
CFPB7,2800_31_1,30.9,2800_31,3258.29,31,ext,P,B,F,8.536,NA,total,0,2800,-0.375,0.828633009
CFPB9,280_31_1,31,280_31,286.83,31,pre,P,B,F,9.076,NA,total,0,280,0.187,0.525849097
CFPC10,400_28_2,28.1,400_28,400.02,28,cur,P,C,F,10.171,0.03,total,0,400,-0.783,0.283427369
CFPC11,280_28_2,27.9,280_28,314.65,28,pre,P,C,F,12.342,NA,total,0,280,1.196,1.177701357
CFPC12,700_31_2,30.9,700_31,677.35,31,eoc,P,C,F,11.884,NA,total,0,700,-0.778,-0.049283117
CFPC2,280_28_2,27.9,280_28,314.65,28,pre,P,C,F,10.872,0.021,total,0,280,1.071,0.951253595
CFPC6,700_28_2,28.1,700_28,707.17,28,eoc,P,C,F,11.821,NA,total,0,700,1.066,1.169722728
CFPC8,2800_28_2,28.1,2800_28,3336.47,28,ext,P,C,F,10.075,0.019,total,0,2800,-0.725,0.520704494
CFPD1,280_31_2,30.9,280_31,286.61,31,pre,P,D,F,12.425,0.017,total,0,280,-0.159,0.377280068
CFPD11,2800_28_2,28.1,2800_28,3336.47,28,ext,P,D,F,7.24,NA,total,0,2800,-0.514,0.628974229
CFPD2,280_28_2,27.9,280_28,314.65,28,pre,P,D,F,11.427,0.012,total,0,280,1.208,1.164930754
CFPD5,700_31_2,30.9,700_31,677.35,31,eoc,P,D,F,8.533,NA,total,0,700,-1.127,0.018257097
CFPD6,400_28_2,28.1,400_28,400.02,28,cur,P,D,F,8.239,NA,total,0,400,1.068,1.219013814
CFPD7,2800_31_2,30.9,2800_31,3301.59,31,ext,P,D,F,11.931,NA,total,0,2800,-0.888,0.203197902
CFPD8,2800_28_2,28.1,2800_28,3336.47,28,ext,P,D,F,7.965,NA,total,0,2800,-0.201,0.776944896
CFPD9,700_28_2,28.1,700_28,707.17,28,eoc,P,D,F,7.055,NA,total,0,700,0.154,0.518262882
CFPE10,280_28_1,28,280_28,302.69,28,pre,P,E,F,11.543,NA,total,0,280,-1.232,-0.222469067
CFPE12,700_28_2,28.1,700_28,707.17,28,eoc,P,E,F,13.964,NA,total,0,700,-0.059,0.336033973
CFPE14,280_28_2,27.9,280_28,314.65,28,pre,P,E,F,8.052,NA,total,0,280,-0.39,0.196082701
CFPE2,280_28_3,27.9,280_28,317.27,28,pre,P,E,F,10.804,NA,total,0,280,-0.945,-0.03239507
CFPE40,2800_28_1,28.1,2800_28,3369.78,28,ext,P,E,F,9.408,NA,total,0,2800,-0.912,0.182805581
CFPE42,2800_28_1,28.1,2800_28,3369.78,28,ext,P,E,F,9.626,NA,total,0,2800,0.089,0.759366177
CFPE6,700_28_3,28.1,700_28,689.5,28,eoc,P,E,F,10.186,NA,total,0,700,0.501,0.795014936
CFPE8,2800_28_3,28.1,2800_28,3219.84,28,ext,P,E,F,11.411,NA,total,0,2800,-0.27,0.548145328
CFPF1,280_31_3,30.9,280_31,291.58,31,pre,P,F,F,10.667,NA,total,0,280,0.323,0.656042613
CFPF2,280_28_3,27.9,280_28,317.27,28,pre,P,F,F,11.07,NA,total,0,280,-0.7,0.02175349
CFPF6,700_28_3,28.1,700_28,689.5,28,eoc,P,F,F,11.765,NA,total,0,700,-0.171,0.257878461
CFPF7,2800_31_3,31,2800_31,3295.97,31,ext,P,F,F,12.335,NA,total,0,2800,-0.94,0.376540079
CFPF8,2800_28_3,28.1,2800_28,3219.84,28,ext,P,F,F,15.117,NA,total,0,2800,-0.013,0.914989303
CFSA1,280_31_1,31,280_31,286.83,31,pre,S,A,F,10.283,6.00E-03,total,0,280,0.752,0.927201795
CFSA10,2800_28_1,28.1,2800_28,3369.78,28,ext,S,A,F,6.446,5.00E-03,total,0,2800,-0.056,0.700579338
CFSA14,280_28_1,28,280_28,302.69,28,pre,S,A,F,4.661,7.00E-03,total,0,280,0.957,1.069280489
CFSA2,400_28_1,28,400_28,408.25,28,cur,S,A,F,8.3,5.00E-03,total,0,400,1.093,1.210225269
CFSA3,400_31_1,31.1,400_31,434.02,31,cur,S,A,F,10.181,4.00E-03,total,0,400,0.182,0.745710696
CFSA5,700_31_1,30.9,700_31,666.85,31,eoc,S,A,F,8.918,4.00E-03,total,0,700,1.692,1.277878937
CFSA6,700_28_1,28,700_28,707.6,28,eoc,S,A,F,9.068,3.00E-03,total,0,700,0.414,0.560718433
CFSA7,2800_31_1,30.9,2800_31,3258.29,31,ext,S,A,F,8.812,5.00E-03,total,0,2800,-0.012,0.710665316
CFSB1,280_31_1,31,280_31,286.83,31,pre,S,B,F,12.31,6.00E-03,total,0,280,0.732,0.838986464
CFSB10,400_31_1,31.1,400_31,434.02,31,cur,S,B,F,11.296,0.01,total,0,400,1.609,1.268388719
CFSB13,400_28_1,28,400_28,408.25,28,cur,S,B,F,12.975,0.01,total,0,400,1.139,1.019500662
CFSB2,280_28_1,28,280_28,302.69,28,pre,S,B,F,10.805,8.00E-03,total,0,280,1.122,0.958220741
CFSB3,2800_28_1,28.1,2800_28,3369.78,28,ext,S,B,F,9.702,3.00E-03,total,0,2800,-0.271,0.805233845
CFSB5,700_31_1,30.9,700_31,666.85,31,eoc,S,B,F,11.185,8.00E-03,total,0,700,1.359,1.191897947
CFSB6,700_28_1,28,700_28,707.6,28,eoc,S,B,F,12.153,7.00E-03,total,0,700,1.289,1.152428918
