coral,treat,tank,temp,pco2,pCO2,ftemp,species,reefzone,colony,tod,dead,dead.NA,tod.pre
CFPD3,400_31,8,31.1,447.02,cur,31,P,F,D,59,1,1,79
CFPD5,700_31,14,30.9,677.35,eoc,31,P,F,D,91,0,0,111
CFPD6,400_28,11,28.1,400.02,cur,28,P,F,D,91,0,0,111
CFPD7,2800_31,20,30.9,3301.59,ext,31,P,F,D,92,0,0,112
CFPD8,2800_28,23,28.1,3336.47,ext,28,P,F,D,92,0,0,112
CFPD9,700_28,17,28.1,707.17,eoc,28,P,F,D,92,0,0,112
CFPE1,280_31,3,30.9,291.58,pre,31,P,F,E,59,1,1,79
CFPE10,280_28,4,28,302.69,pre,28,P,F,E,90,0,0,110
CFPE12,700_28,17,28.1,707.17,eoc,28,P,F,E,92,0,0,112
CFPE14,280_28,5,27.9,314.65,pre,28,P,F,E,90,0,0,110
CFPE15,2800_28,23,28.1,3336.47,ext,28,P,F,E,3,1,NA,23
CFPE16,2800_31,20,30.9,3301.59,ext,31,P,F,E,29,1,1,49
CFPE18,400_31,8,31.1,447.02,cur,31,P,F,E,28,1,1,48
CFPE2,280_28,6,27.9,317.27,pre,28,P,F,E,91,0,0,111
CFPE20,280_31,2,30.9,286.61,pre,31,P,F,E,28,1,1,48
CFPE26,700_31,14,30.9,677.35,eoc,31,P,F,E,29,1,1,49
CFPE27,400_28,12,28,405.52,cur,28,P,F,E,2,1,NA,22
CFPE3,400_31,9,31.1,459.07,cur,31,P,F,E,59,1,1,79
CFPE40,2800_28,22,28.1,3369.78,ext,28,P,F,E,92,0,0,112
CFPE41,700_31,14,30.9,677.35,eoc,31,P,F,E,29,1,1,49
CFPE42,2800_28,22,28.1,3369.78,ext,28,P,F,E,92,0,0,112
CFPE5,700_31,15,30.9,675.24,eoc,31,P,F,E,60,1,1,80
CFPE6,700_28,18,28.1,689.5,eoc,28,P,F,E,92,0,0,112
CFPE7,2800_31,21,31,3295.97,ext,31,P,F,E,60,1,1,80
CFPE8,2800_28,24,28.1,3219.84,ext,28,P,F,E,92,0,0,112
CFPF1,280_31,3,30.9,291.58,pre,31,P,F,F,90,0,0,110
CFPF2,280_28,6,27.9,317.27,pre,28,P,F,F,91,0,0,111
CFPF3,400_31,9,31.1,459.07,cur,31,P,F,F,59,1,1,79
CFPF5,400_28,12,28,405.52,cur,28,P,F,F,59,1,1,79
CFPF6,700_28,18,28.1,689.5,eoc,28,P,F,F,92,0,0,112
CFPF7,2800_31,21,31,3295.97,ext,31,P,F,F,92,0,0,112
CFPF8,2800_28,24,28.1,3219.84,ext,28,P,F,F,92,0,0,112
CFPF9,700_31,14,30.9,677.35,eoc,31,P,F,F,60,1,1,80
CFSA1,280_31,1,31,286.83,pre,31,S,F,A,90,0,0,110
CFSA10,2800_28,22,28.1,3369.78,ext,28,S,F,A,92,0,0,112
CFSA14,280_28,4,28,302.69,pre,28,S,F,A,90,0,0,110
CFSA2,400_28,10,28,408.25,cur,28,S,F,A,91,0,0,111
CFSA3,400_31,7,31.1,434.02,cur,31,S,F,A,91,0,0,111
CFSA5,700_31,13,30.9,666.85,eoc,31,S,F,A,91,0,0,111
CFSA6,700_28,16,28,707.6,eoc,28,S,F,A,92,0,0,112
CFSA7,2800_31,19,30.9,3258.29,ext,31,S,F,A,92,0,0,112
CFSB1,280_31,1,31,286.83,pre,31,S,F,B,90,0,0,110
CFSB10,400_31,7,31.1,434.02,cur,31,S,F,B,91,0,0,111
CFSB13,400_28,10,28,408.25,cur,28,S,F,B,91,0,0,111
CFSB2,280_28,4,28,302.69,pre,28,S,F,B,90,0,0,110
CFSB3,2800_28,22,28.1,3369.78,ext,28,S,F,B,92,0,0,112
CFSB5,700_31,13,30.9,666.85,eoc,31,S,F,B,91,0,0,111
CFSB6,700_28,16,28,707.6,eoc,28,S,F,B,92,0,0,112
CFSB7,2800_31,19,30.9,3258.29,ext,31,S,F,B,92,0,0,112
CFSC14,400_28,11,28.1,400.02,cur,28,S,F,C,91,0,0,111
CFSC2,280_28,5,27.9,314.65,pre,28,S,F,C,90,0,0,110
CFSC3,400_31,8,31.1,447.02,cur,31,S,F,C,1,1,NA,21
CFSC5,700_31,14,30.9,677.35,eoc,31,S,F,C,91,0,0,111
CFSC6,700_28,17,28.1,707.17,eoc,28,S,F,C,92,0,0,112
CFSC7,2800_31,20,30.9,3301.59,ext,31,S,F,C,92,0,0,112
CFSC9,2800_28,23,28.1,3336.47,ext,28,S,F,C,92,0,0,112
CFSD1,280_31,2,30.9,286.61,pre,31,S,F,D,90,0,0,110
CFSD11,280_28,5,27.9,314.65,pre,28,S,F,D,90,0,0,110
CFSD3,400_31,8,31.1,447.02,cur,31,S,F,D,91,0,0,111
CFSD4,280_28,6,27.9,317.27,pre,28,S,F,D,91,0,0,111
CFSD5,700_31,14,30.9,677.35,eoc,31,S,F,D,91,0,0,111
CFSD6,700_28,17,28.1,707.17,eoc,28,S,F,D,92,0,0,112
CFSD7,2800_31,20,30.9,3301.59,ext,31,S,F,D,92,0,0,112
CFSD8,2800_28,23,28.1,3336.47,ext,28,S,F,D,92,0,0,112
CFSD9,400_28,11,28.1,400.02,cur,28,S,F,D,91,0,0,111
CFSE1,280_31,3,30.9,291.58,pre,31,S,F,E,90,0,0,110
CFSE11,400_28,12,28,405.52,cur,28,S,F,E,91,0,0,111
CFSE3,400_31,9,31.1,459.07,cur,31,S,F,E,91,0,0,111
CFSE5,700_31,15,30.9,675.24,eoc,31,S,F,E,92,0,0,112
CFSE6,700_28,18,28.1,689.5,eoc,28,S,F,E,92,0,0,112
CFSE7,2800_31,21,31,3295.97,ext,31,S,F,E,92,0,0,112
CFSE8,2800_28,24,28.1,3219.84,ext,28,S,F,E,92,0,0,112
CFSF1,280_31,3,30.9,291.58,pre,31,S,F,F,0,1,NA,20
CFSF11,400_28,12,28,405.52,cur,28,S,F,F,91,0,0,111
CFSF16,2800_28,24,28.1,3219.84,ext,28,S,F,F,92,0,0,112
CFSF2,280_28,6,27.9,317.27,pre,28,S,F,F,91,0,0,111
CFSF3,400_31,9,31.1,459.07,cur,31,S,F,F,91,0,0,111
CFSF5,700_31,15,30.9,675.24,eoc,31,S,F,F,92,0,0,112
CFSF6,700_28,18,28.1,689.5,eoc,28,S,F,F,92,0,0,112
CFSF7,2800_31,21,31,3295.97,ext,31,S,F,F,92,0,0,112
CFTA1,280_31,1,31,286.83,pre,31,T,F,A,1,1,NA,21
CFTA2,280_28,4,28,302.69,pre,28,T,F,A,90,0,0,110
CFTA3,400_31,7,31.1,434.02,cur,31,T,F,A,1,1,NA,21
CFTA5,700_31,13,30.9,666.85,eoc,31,T,F,A,29,1,1,49
CFTA6,700_28,16,28,707.6,eoc,28,T,F,A,92,0,0,112
CFTA7,2800_31,19,30.9,3258.29,ext,31,T,F,A,2,1,NA,22
CFTA8,2800_28,22,28.1,3369.78,ext,28,T,F,A,92,0,0,112
CFTA9,400_28,10,28,408.25,cur,28,T,F,A,2,1,NA,22
CFTB1,280_31,1,31,286.83,pre,31,T,F,B,59,1,1,79
CFTB2,280_28,4,28,302.69,pre,28,T,F,B,90,0,0,110
CFTB3,400_31,7,31.1,434.02,cur,31,T,F,B,1,1,NA,21
CFTB5,700_31,13,30.9,666.85,eoc,31,T,F,B,2,1,NA,22
CFTB6,700_28,16,28,707.6,eoc,28,T,F,B,29,1,1,49
CFTB7,2800_31,19,30.9,3258.29,ext,31,T,F,B,2,1,NA,22
CFTB8,400_28,10,28,408.25,cur,28,T,F,B,2,1,NA,22
CFTC3,400_31,8,31.1,447.02,cur,31,T,F,C,1,1,NA,21
CFTD1,400_28,11,28.1,400.02,cur,28,T,F,D,91,0,0,111
CFTD2,280_28,5,27.9,314.65,pre,28,T,F,D,90,0,0,110
CFTD3,400_31,8,31.1,447.02,cur,31,T,F,D,1,1,NA,21
CFTD6,700_28,17,28.1,707.17,eoc,28,T,F,D,2,1,NA,22
CFTD8,2800_28,23,28.1,3336.47,ext,28,T,F,D,3,1,NA,23
CFTF2,400_28,12,28,405.52,cur,28,T,F,F,91,0,0,111
CFTF5,700_31,15,30.9,675.24,eoc,31,T,F,F,2,1,NA,22
CFTF6,700_28,18,28.1,689.5,eoc,28,T,F,F,29,1,1,49
CNAA1,280_31,1,31,286.83,pre,31,A,N,a,28,1,1,48
CNAA14,700_28,16,28,707.6,eoc,28,A,N,a,92,0,0,112
CNAA2,280_28,4,28,302.69,pre,28,A,N,a,90,0,0,110
CNAA3,400_31,7,31.1,434.02,cur,31,A,N,a,91,0,0,111
CNAA5,700_31,13,30.9,666.85,eoc,31,A,N,a,91,0,0,111
CNAA6,400_28,10,28,408.25,cur,28,A,N,a,91,0,0,111
CNAA7,2800_31,19,30.9,3258.29,ext,31,A,N,a,92,0,0,112
CNAA9,2800_28,22,28.1,3369.78,ext,28,A,N,a,92,0,0,112
CNAB10,280_28,4,28,302.69,pre,28,A,N,B,90,0,0,110
CNAB11,400_31,7,31.1,434.02,cur,31,A,N,B,91,0,0,111
CNAB12,2800_28,22,28.1,3369.78,ext,28,A,N,B,92,0,0,112
CNAB13,280_31,1,31,286.83,pre,31,A,N,B,90,0,0,110
CNAB15,700_28,16,28,707.6,eoc,28,A,N,B,60,1,1,80
CNAB19,400_28,10,28,408.25,cur,28,A,N,B,91,0,0,111
CNAB5,700_31,13,30.9,666.85,eoc,31,A,N,B,60,1,1,80
CNAB7,2800_31,19,30.9,3258.29,ext,31,A,N,B,2,1,NA,22
CNAC1,280_31,2,30.9,286.61,pre,31,A,N,C,90,0,0,110
CNAC12,400_28,11,28.1,400.02,cur,28,A,N,C,91,0,0,111
CNAC2,280_28,5,27.9,314.65,pre,28,A,N,C,90,0,0,110
CNAC3,400_31,8,31.1,447.02,cur,31,A,N,C,91,0,0,111
CNAC5,700_31,14,30.9,677.35,eoc,31,A,N,C,91,0,0,111
CNAC6,700_28,17,28.1,707.17,eoc,28,A,N,C,92,0,0,112
CNAC7,2800_31,20,30.9,3301.59,ext,31,A,N,C,60,1,1,80
CNAC8,2800_28,23,28.1,3336.47,ext,28,A,N,C,92,0,0,112
CNAD1,280_31,2,30.9,286.61,pre,31,A,N,D,59,1,1,79
CNAD10,280_28,5,27.9,314.65,pre,28,A,N,D,90,0,0,110
CNAD3,400_31,8,31.1,447.02,cur,31,A,N,D,91,0,0,111
CNAD5,700_31,14,30.9,677.35,eoc,31,A,N,D,91,0,0,111
CNAD6,700_28,17,28.1,707.17,eoc,28,A,N,D,92,0,0,112
CNAD7,2800_31,20,30.9,3301.59,ext,31,A,N,D,92,0,0,112
CNAD8,2800_28,23,28.1,3336.47,ext,28,A,N,D,92,0,0,112
