coral,treat,tank,temp,pco2,pCO2,ftemp,species,reefzone,colony,tod,dead,dead.NA,tod.pre
CNTC20,280_31,3,30.9,291.58,pre,31,T,N,C,59,1,1,79
CNTC21,400_28,11,28.1,400.02,cur,28,T,N,C,91,0,0,111
CNTC22,280_31,2,30.9,286.61,pre,31,T,N,C,90,0,0,110
CNTC3,400_31,8,31.1,447.02,cur,31,T,N,C,1,1,NA,21
CNTC5,700_31,14,30.9,677.35,eoc,31,T,N,C,2,1,NA,22
CNTC6,700_28,17,28.1,707.17,eoc,28,T,N,C,2,1,NA,22
CNTC8,2800_28,23,28.1,3336.47,ext,28,T,N,C,3,1,NA,23
CNTC9,2800_28,23,28.1,3336.47,ext,28,T,N,C,3,1,NA,23
CNTD1,280_31,2,30.9,286.61,pre,31,T,N,D,90,0,0,110
CNTD13,400_28,11,28.1,400.02,cur,28,T,N,D,91,0,0,111
CNTD15,280_28,6,27.9,317.27,pre,28,T,N,D,91,0,0,111
CNTD2,280_28,5,27.9,314.65,pre,28,T,N,D,90,0,0,110
CNTD3,400_31,8,31.1,447.02,cur,31,T,N,D,1,1,NA,21
CNTD5,700_31,14,30.9,677.35,eoc,31,T,N,D,91,0,0,111
CNTD6,700_28,17,28.1,707.17,eoc,28,T,N,D,92,0,0,112
CNTD7,2800_31,20,30.9,3301.59,ext,31,T,N,D,3,1,NA,23
CNTD8,2800_28,23,28.1,3336.47,ext,28,T,N,D,92,0,0,112
CNTE10,400_28,12,28,405.52,cur,28,T,N,E,91,0,0,111
CNTE12,280_31,3,30.9,291.58,pre,31,T,N,E,90,0,0,110
CNTE15,280_31,3,30.9,291.58,pre,31,T,N,E,90,0,0,110
CNTE2,280_28,6,27.9,317.27,pre,28,T,N,E,91,0,0,111
CNTE3,400_31,9,31.1,459.07,cur,31,T,N,E,1,1,NA,21
CNTE5,700_31,15,30.9,675.24,eoc,31,T,N,E,60,1,1,80
CNTE6,700_28,18,28.1,689.5,eoc,28,T,N,E,92,0,0,112
CNTE8,2800_28,24,28.1,3219.84,ext,28,T,N,E,92,0,0,112
CNTF1,280_31,3,30.9,291.58,pre,31,T,N,F,59,1,1,79
CNTF2,280_28,6,27.9,317.27,pre,28,T,N,F,91,0,0,111
CNTF3,400_31,9,31.1,459.07,cur,31,T,N,F,28,1,1,48
CNTF5,700_31,15,30.9,675.24,eoc,31,T,N,F,29,1,1,49
CNTF6,700_28,18,28.1,689.5,eoc,28,T,N,F,92,0,0,112
CNTF7,2800_31,21,31,3295.97,ext,31,T,N,F,3,1,NA,23
CNTF8,2800_28,24,28.1,3219.84,ext,28,T,N,F,92,0,0,112
